Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Euro Standard,Noise Level dB(A),Emissions CO [g/km],Emissions HC [g/km],Emissions NOx [g/km],Emissions HC+NOx [g/km],Emissions Particulates [g/km],
RENAULT,"Grand Scénic, Model Year May 2009 on",dCi 106,M6,1461,Diesel,6.0,4.6,5.1,47.1,61.4,55.4,135,1369,4,71.9,0.227,,0.212,0.235,0.014,
RENAULT,"Grand Scénic, Model Year May 2009 on",dCi 130,M6,1870,Diesel,6.8,5.0,5.6,41.5,56.5,50.4,149,1505,4,70.9,0.135,,0.158,0.180,0.002,
RENAULT,Espace,2.0 16V 140,M6,1998,Petrol,12.7,7.5,9.4,22.2,37.7,30.1,223,2410,4,70.8,0.709,0.080,0.043,,,
RENAULT,Espace,2.0 dCi 130,M6,1995,Diesel,9.2,6.4,7.4,30.7,44.1,38.2,196,1985,4,72.6,0.309,,0.297,0.325,0.025,
RENAULT,Espace,2.0 dCi 150,M6,1995,Diesel,9.2,6.4,7.4,30.7,44.1,38.2,196,1985,4,76.2,0.309,,0.297,0.325,0.025,
RENAULT,Espace,2.0 dCi 150 Auto FAP,M6,1995,Diesel,9.5,6.6,7.6,29.7,42.8,37.2,200,2038,4,70.1,0.293,,0.326,0.346,0.003,
RENAULT,Espace,2.0 dCI 175 FAP,M6,1995,Diesel,9.3,6.5,7.4,30.4,43.5,38.2,197,1985,4,69.3,0.293,,0.326,0.346,0.003,
RENAULT,Espace,2.0 dCi 175 Auto FAP,A6,1995,Diesel,10.6,6.8,8.2,26.6,41.5,34.4,217,2204,4,74.0,0.181,,0.367,0.388,0.001,
RENAULT,Grand Espace,2.0 dCi 150,M6,1995,Diesel,9.2,6.4,7.4,30.8,44.3,38.3,196,1980,4,72.6,0.309,,0.297,0.325,0.025,
RENAULT,Grand Espace,2.0 dCi 150 Auto FAP,A6,1995,Diesel,10.6,6.8,8.2,26.6,41.5,34.4,217,2204,4,75.0,0.181,,0.367,0.388,0.001,
RENAULT,Grand Espace,2.0 dCI 175 FAP,M6,1995,Diesel,9.5,6.6,7.6,29.7,42.8,37.2,200,2038,4,69.3,0.293,,0.326,0.346,0.003,
RENAULT,Grand Espace,2.0 dCi 175 Auto FAP,A6,1995,Diesel,10.6,6.8,8.2,26.6,41.5,34.4,217,2204,4,74.0,0.181,,0.367,0.388,0.001,
RENAULT,Kangoo ,1.6 8V,M5,1598,Petrol,10.6,6.7,8.1,26.6,42.2,34.9,192,2079,4,72.4,0.346,0.054,0.014,,,
RENAULT,Kangoo ,1.6 16V 105,M5,1598,Petrol,10.6,6.3,7.9,26.6,44.8,35.8,191,2027,4,73.3,0.253,0.054,0.014,,,
RENAULT,Kangoo ,1.6 16V 105,A4,1598,Petrol,11.6,6.7,8.5,24.4,42.2,33.2,200,2185,4,70.4,0.388,0.062,0.019,,,
RENAULT,Kangoo ,dCi 68 ECO,M5,1461,Diesel,5.8,4.9,5.2,48.7,57.6,54.3,138,1396,4,72.0,0.178,,0.189,0.208,0.024,
RENAULT,Kangoo ,dCi 86 ECO,M5,1461,Diesel,5.9,5.0,5.3,47.9,56.5,53.3,140,1423,4,71.9,0.238,,0.211,0.230,0.020,
RENAULT,Kangoo ,dCi 106,M6,1461,Diesel,6.4,5.0,5.5,44.1,56.5,51.4,146,1475,4,73.6,0.469,,0.205,0.253,0.024,
ROLLS-ROYCE,Phantom,Phantom,A6,6749,Petrol,23.2,11.3,15.7,12.2,25.0,18.0,377,4031,4,72.0,0.303,0.072,0.017,,,
ROLLS-ROYCE,Phantom,Phantom EWB,A6,6749,Petrol,23.3,11.4,15.8,12.1,24.8,17.9,380,4053,4,72.0,0.303,0.072,0.017,,,
ROLLS-ROYCE,Phantom,Phantom Drophead Coupé,A6,6749,Petrol,23.2,11.3,15.7,12.2,25.0,18.0,377,4031,4,72.0,0.303,0.072,0.017,,,
ROLLS-ROYCE,Phantom,Phantom Coupé,A6,6749,Petrol,23.2,11.3,15.7,12.2,25.0,18.0,377,4031,4,72.0,0.303,0.072,0.017,,,
SSANGYONG,Rexton II,270 S Manual TOD 165 ps 7 Seats ,5MT,2696,Diesel,11.5,7.5,9.0,24.6,37.7,31.4,228,2415,4,74.7,0.390,,0.260,0.320,0.030,
SSANGYONG,Rexton II,270 S Auto TOD 165 ps 7 Seats ,A5,2696,Diesel,12.2,8.4,9.8,23.2,33.6,28.8,250,2633,4,70.5,0.200,,0.310,0.330,0.040,
SSANGYONG,Rexton II,270 EX Auto TOD 165 ps 7 Seats,5AT,2696,Diesel,12.2,8.4,9.8,23.2,33.6,28.8,249,2633,4,70.5,0.200,,0.310,0.330,0.040,
SSANGYONG,Rodius,270 S Manual 2WD 165 ps 7 Seats,M5,2696,Diesel,11.2,7.4,8.8,25.2,38.2,32.1,223,2362,4,73.9,0.420,,0.250,0.290,0.040,
SSANGYONG,Rodius,270 ES Manual 2WD 165 ps 7 Seats,5MT,2696,Diesel,11.2,7.4,8.8,25.2,38.2,32.1,223,2362,4,73.9,0.420,,0.250,0.290,0.040,
SSANGYONG,Rodius,270 ES Auto 2WD 165 ps 7 Seats,5AT,2696,Diesel,12.8,7.9,9.7,22.1,35.8,29.1,247,2606,4,71.9,0.270,,0.310,0.330,0.040,
